Number;FieldOfResearch;Level;LevelA_Number;LevelA_FieldOfResearch;LevelB_Number;LevelB_FieldOfResearch;FieldOfResearchVersion;Level1_Number;Level1_Discipline;Level2_Number;Level2_Discipline;Level3_Number;Level3_Discipline
4902;Mathematical physics;2;49;Mathematical Sciences;4902;Mathematical physics;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20100;Mathematics;NA;NA
5001;Applied ethics;2;50;Philosophy and Religious Studies;5001;Applied ethics;ANZSRC 2020;10000;Humanities and Social Sciences;10200;Linguistics and literature, philosophy;10101;Philosophy
4201;Allied health and rehabilitation science;2;42;Health Sciences;4201;Allied health and rehabilitation science;ANZSRC 2020;30000;Biology and Medicine;30900;Social Medicine;NA;NA
4999;Other mathematical sciences;2;49;Mathematical Sciences;4999;Other mathematical sciences;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20100;Mathematics;NA;NA
4207;Sports science and exercise;2;42;Health Sciences;4207;Sports science and exercise;ANZSRC 2020;30000;Biology and Medicine;30700;Clinical Medicine;30721;Sport Medicine
3108;Plant biology;2;31;Biological Sciences;3108;Plant biology;ANZSRC 2020;30000;Biology and Medicine;30200;General Biology;30201;Botany
4802;Environmental and resources law;2;48;Law and Legal Studies;4802;Environmental and resources law;ANZSRC 2020;10000;Humanities and Social Sciences;10700;Economics, law;10205;Legal sciences
3702;Climate change science;2;37;Earth Sciences;3702;Climate change science;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20700;Environmental Sciences;20704;Climatology. Atmospherical Chemistry, Aeronomy
5205;Social and personality psychology;2;52;Psychology;5205;Social and personality psychology;ANZSRC 2020;10000;Humanities and Social Sciences;10500;Psychology, educational studies;10105;Psychology
4807;Public law;2;48;Law and Legal Studies;4807;Public law;ANZSRC 2020;10000;Humanities and Social Sciences;10700;Economics, law;10205;Legal sciences
4104;Environmental management;2;41;Environmental Sciences;4104;Environmental management;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20700;Environmental Sciences;NA;NA
33;Built Environment and Design;1;33;Built Environment and Design;NA;NA;ANZSRC 2020;10000;Humanities and Social Sciences;10300;Art studies, musicology, theatre and film studies, architecture;10407;Architecture and Social urban science
3708;Oceanography;2;37;Earth Sciences;3708;Oceanography;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20700;Environmental Sciences;20706;Oceanography
40;Engineering;1;40;Engineering;NA;NA;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;20511;Other disciplines of Engineering Sciences
3104;Evolutionary biology;2;31;Biological Sciences;3104;Evolutionary biology;ANZSRC 2020;30000;Biology and Medicine;30200;General Biology;30203;Paleontology (biol.)
3214;Pharmacology and pharmaceutical sciences;2;32;Biomedical and Clinical Sciences;3214;Pharmacology and pharmaceutical sciences;ANZSRC 2020;30000;Biology and Medicine;NA;NA;NA;NA
3206;Medical biotechnology;2;32;Biomedical and Clinical Sciences;3206;Medical biotechnology;ANZSRC 2020;30000;Biology and Medicine;30700;Clinical Medicine;30714;Biomedical Engineering
3502;Banking, finance and investment;2;35;Commerce, Management, Tourism and Services;3502;Banking, finance and investment;ANZSRC 2020;10000;Humanities and Social Sciences;10700;Economics, law;NA;NA
